,Title,IMDB ID,Date of release,Genre1,Genre2,Genre3,Language,Actor1,Actor2,Actor3,Crew1,Crew2,Crew3,Plot summary,IMDB rating,IMDB votes,IMDB URL
0,Badal,0247944,2000,Action,Crime,Drama,Hindi,Bobby Deol,Rani Mukerji,Ashutosh Rana,NA,NA,NA,"Badal (Bobby Deol) is a victim of the 1984 riots, brought up by a terrorist (Ashish Vidyarthi). Badal lives with the sole aim of exterminating a police cop Rana (Ashutosh Rana) now the DGP. Rana was responsible for cruel harassment and murders of innocent people in the villages of Punjab. Including that of Badal's whole family. An honest police officer (Amrish Puri) and his family give shelter to young Badal where he falls in love with Rani Mukherjee. Badal's aim remains to kill the treacherous police officer who had killed his parents and his loving sister. After several twists and turns he meets the treacherous Jai Singh Rana who has now become a DIG. How the hero accomplishes his revenge forms the rest of the story?",4.9,1322,https://www.imdb.com/title/tt0247944/
1,Road,3546370,2014,Documentary,Sport,NA,English,Liam Neeson,Liam Beckett,Siobhan Carter,Philip Magorrian,NA,NA,"Brothers addicted to speed. At any price. Motorcycle road racing is the most dangerous of all motor sports. One in which men compete at speeds of up to 200 miles per hour on closed country roads. Roads that are lined with trees, telegraph posts, stone walls. Ireland and the Isle of Man are two of the few places in the world where the sport still survives. Narrated by Liam Neeson, this is the dramatic and poignant story of two sets of brothers from Northern Ireland who have dominated road racing for over thirty years. Two generations of one family that have been united by success. And united by tragedy.",7.9,1369,https://www.imdb.com/title/tt3546370/
2,Nasha,3044882,2013,Drama,Thriller,NA,Hindi,Poonam Pandey,Shivam Patil,Vishal Bhonsle,Suneel Dutt,Suneel Dutt,Manasi Kolhe,"It is the story of an 18 year old boy who falls hopelessly in love with a 25 year old woman. A woman he cannot have, but a woman he cannot help but desire. And, as is the case with desires unfulfilled, they turn into obsessions. The movie emphasizes that in a world of temptation, romance is temporary, love is lonely, but addiction is forever.",3.2,1245,https://www.imdb.com/title/tt3044882/
3,Jail,1245774,2009,Drama,NA,NA,Hindi,Manoj Bajpayee,Atul Kulkarni,Neil Nitin Mukesh,Nitin Chandrakant Desai,Manasi Kolhe,Prashant Vichare,"Shortly after getting promoted as Regional Manager of Max Finance, Parag Dixit gets arrested in Bandra for Firing at Police, and Possession of Narcotics. His associate, Keshav, is grievously injured, and is hospitalized in a coma-like condition. Parag's widowed mother, Alka, and Air Hostess girlfriend, Manasi Pandit, retain Advocate Harish Bhatiya to represent him at a preliminary bail hearing, but the Judge denies bail. Housed in an overcrowded barrack, with barely room to move, Parag meets with a variety of people - both convicted and awaiting trial - including Abdul Ghani, Kabir Malik, Galib Suratwala, Nawab, Bababhai, etc. Parag again appears in Court e after a charge-sheet is filed, but again, due to the seriousness of the offenses, fear of tampering with evidence and witnesses, he is denied bail. Several months later, Keshav is now deceased - and Parag, embittered by abuse, loss of faith in an overburdened system - with overwhelming evidence against him - faces trial as the only accused.",6.2,1274,https://www.imdb.com/title/tt1245774/
4,Aakhree Raasta,0090575,1986,Action,Crime,Drama,Hindi,Amitabh Bachchan,Sridevi,Jaya Prada,Subbaiah,Velu,NA,"David is an old prisoner, released after twenty-four years in a penitentiary for a crime he hasn't committed. The three men who framed him and sent him away, are now prominent citizens of his town. David walks out of the prison straight into a confessional booth at his church. He tells the priest that he is about to kill three prominent men, for which he seeks God's pardon in advance. He must find his old friend, bootlegger and the custodian of David's only son. David had believed in his friend to bring up his son as the worst criminal and seek revenge from the men who put him away. On meeting him, David finds that his son is a Cop instead. Devastated, David continues on his own. When he is about to kill the three men, his son has vowed to protect the citizens under any circumstances. David and his son are at war, personally and the smarter of the duo would win.",7.0,1320,https://www.imdb.com/title/tt0090575/
5,Saudagar,0102844,1991,Action,Drama,Romance,Hindi,Dilip Kumar,Raaj Kumar,Vivek Mushran,NA,NA,NA,"Veeru Singh and Rajeshwar Singh are sworn enemies, their clans and villagers have taken sides in a blood feud. Guns, and goons galore in both their fiefdoms. Military grade training for their cadres. How did all this come to pass when they were inseparable as friends while they were children. Their blood feud extends to their children. When one of their sons, Kunal gets a girl from the opposite camp pregnant, and she is raped and killed by someone from the other side, tensions escalate. Will the grandchildren carry the torch of hatred. Vasu and Radha are the grandchildren, whose association kindles another fire from yesteryear. Who manipulated the estrangement of dear friends and why? Is there a possibility of reconciliation between Veeru and Rajeshwar? Who wins, who loses is the theme of the film. Glueing the plot together is a childhood song that the duo would sing, and now the grandchildren have learned to sing.",6.8,1335,https://www.imdb.com/title/tt0102844/
6,16 December,0313844,2002,Action,Thriller,NA,Hindi,Milind Soman,Danny Denzongpa,Gulshan Grover,NA,NA,NA,"16 December, 1971 was the day when India won the war against Pakistan, and was also able to liberate Bangla Desh from Pakistan's rule. Although the ruling dictator of Pakistan surrendered unconditionally to India, some of the hard-lined Pakistani soldiers were bitter and angry at the surrender, as they wanted to continue fighting the Indians until their last breath. They retreated in silent and later came together to form their own groups of Jihaadi soldiers to carry out terrorists attacks against neighboring India. One of them was Dost Khan (Gulshan Grover). Although the Indian authorities were aware of Dost Khan's terrorist activities, they were unable to apprehend him as he kept changing disguises, and always kept one step ahead of the authorities. This matter was assigned to Chief of Revenue Intelligence Vir Vijay singh (Danny Denzongpa) and his team of Vikram (Milind Soman), Victor (Sushant Singh), and Sheeba (Dipanita Sharma). Their investigation led them to the conclusion that terrorists had been able to acquire a nuclear bomb, at the time of the break-up of the Soviet Union, and that nuclear bomb is now in India's capital Delhi. 16th December is the deadline for the nuclear bomb to explode, however, Vir Vijay Singh and his team have not idea about the location of the bomb, nor of Dost Khan.",6.9,1266,https://www.imdb.com/title/tt0313844/
7,My Brother... Nikhil,0419992,2005,Drama,Sport,NA,English,Sanjay Suri,Juhi Chawla,Purab Kohli,NA,NA,NA,"The Kapoors have been living in Goa for several years, and are a well-known and respected family. Navin Kapoor is now retired, and lives with his wife, Anita, who has some Portugese blood, a sportsman son, Nikhil, and daughter, Anamika (Anu). Navin is thrilled to know that Nikhil has been selected for a sports scholarship and will be representing Goa in a national swimming championship. Before that could happen, Nikhil is asked by his coach to take a break and let some fresh youngsters take over; he is eventually dismissed from the team; Navin and Leena encounter hostile stares whenever they go out together; and Leena is shunned by her friends. Watch the climax as the Kapoors find out why the ground has been removed from under their feet, and if at all they are ready to accept the challenge together as a family or as embittered individuals who end up blaming each other.",7.2,1243,https://www.imdb.com/title/tt0419992/
8,Saajan Chale Sasural,0246905,1996,Comedy,Drama,NA,Hindi,Govinda,Karisma Kapoor,Tabu,Menon Mohd. Yusuf,NA,NA,"Naive villager Shyamsunder, who sings, comes to Bombay to try his luck with Bollywood and wealth. He ends up on the streets, playing for small alms. He meets with another musician, Muthu Swami, and both attempt to meet the owner of Tips Cassettes, Mr. Khurana, for an audition, in vain though. Then one day, Shyamsunder meets beautiful Divya, the only daughter of Mr. Khurana, and both fall in love with each other. Divya would like to marry Shyamsunder, and also further his career. What she does not know is that Shyamsunder loves another woman from his village by the name of Pooja, who he has promised to marry. Pooja arrives in the city, and with Divya already present there, Shyamsunder and Muthu Swami invent a look-alike of Shyamsunder, with hilarious results.",6.0,1378,https://www.imdb.com/title/tt0246905/
9,Madhumati,0050665,1958,Fantasy,Musical,Mystery,Hindi,Dilip Kumar,Vyjayanthimala,Johnny Walker,NA,NA,NA,"While driving his car on a rainy night, Anand's car breaks down, and he goes to seek shelter in a nearby house. He is let into the house by the servant, and he is permitted to stay until the rains stop be able to get his car fixed. It is here that he will find out about his previous birth, his true love, Madhumati, their ill-fated, star-crossed and tragic romance, and how events in his previous birth are going to effect him in this life-time.",8.0,1349,https://www.imdb.com/title/tt0050665/
