Title,IMDB ID,Date of release,Genre1,Genre2,Genre3,Language,Actor1,Actor2,Actor3,Crew1,Crew2,Crew3,Plot summary,IMDB rating,IMDB votes,IMDB URL
3 Idiots,1187043,2009.0,Comedy,Drama,,Hindi,Aamir Khan,Madhavan,Sharman Joshi,Saikat Bose,Ajay Chodanker,Jini Dhamande,"Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.",8.4,365203.0,https://www.imdb.com/title/tt1187043/
Like Stars on Earth,986264,2007.0,Drama,Family,,Hindi,Darsheel Safary,Aamir Khan,Tisca Chopra,Aindri Chakraborty,Sunil Gujar,Ramakant Kanojia,"Ishaan Awasthi is an eight-year-old child whose world is filled with wonders that no one else seems to appretiate are just not important in the world of adults, who are much more interested in things like homework, marks and neatness. And Ishaan just cannot seem to get anything right in class. When he gets into far more trouble than his parents can handle, he is packed off to a boarding school to 'be disciplined'. Things are no different at his new school, and Ishaan has to contend with the added trauma of separation from his family. One day a new art teacher bursts onto the scene, Ram Shankar Nikumbh, who infects the students with joy and optimism. He breaks all the rules of 'how things are done' by asking them to think, dream and imagine, and all the children respond with enthusiasm, all except Ishaan. Nikumbh soon realizes that Ishaan is very unhappy, and he sets out to discover why. With time, patience and care, he ultimately helps Ishaan find himself.",8.4,179478.0,https://www.imdb.com/title/tt0986264/
PK,2338151,2014.0,Comedy,Drama,Musical,Hindi,Aamir Khan,Rajinder Sharma Nanu,Anushka Sharma,Nimisha Goswami,Manini Mishra,Mahto Mohanlal,"P. K. is a comedy of ideas about a stranger in the city, who asks questions that no one has asked before. They are innocent, child-like questions, but they bring about catastrophic answers. People who are set in their ways for generations, are forced to reappraise their world when they see it from PK's innocent eyes. In the process PK makes loyal friends and powerful foes. Mends broken lives and angers the establishment. P. K.'s childlike curiosity transforms into a spiritual odyssey for him and millions of others. The film is an ambitious and uniquely original exploration of complex philosophies. It is also a simple and humane tale of love, laughter and letting-go. Finally, it is a moving saga about a friendship between strangers from worlds apart.",8.1,171450.0,https://www.imdb.com/title/tt2338151/
Dangal,5074352,2016.0,Action,Biography,Drama,Hindi,Aamir Khan,Fatima Sana Shaikh,Sanya Malhotra,Sakshi v Kapoor,Rishabh Kushwaha,Sheena Saini,"Biopic of Mahavir Singh Phogat, who taught wrestling to his daughters Babita Kumari and Geeta Phogat. Geeta Phogat was India's first female wrestler to win at the 2010 Commonwealth Games, where she won the gold medal (55 kg) while her sister Babita Kumari won the silver (51 kg).",8.4,169661.0,https://www.imdb.com/title/tt5074352/
Rang De Basanti,405508,2006.0,Comedy,Crime,Drama,Hindi,Aamir Khan,Siddharth,Sharman Joshi,Manish Baba,Kishen Dagar,Choudhari Nilesh,"Sue comes to India to make a film on Indian revolutionaries.She is helped by her friend Sonia who introduces her to her friends Karan,Aslam,Sukhi and their head DJ.Sonia's fiance Lt Ajay Rathod also joins the gang when in town.Their gang always gets in trouble with a political member Laxman who opposes their western culture.After many auditions Sue decides to caste DJ and his friend's in her film.She also casts Laxman in a role thus ending his feud with the gang.All things are going well until Ajay dies in plane crash but manages to save everyone on board.The state minister declares that Ajay died due to his own negligence .DJ an his friends can't take shame given to Ajay by minister and decide to fight for justice.Where things will take ugly events due to political games.",8.1,116079.0,https://www.imdb.com/title/tt0405508/
Lagaan: Once Upon a Time in India,169102,2001.0,Drama,Musical,Sport,Hindi,Aamir Khan,Gracy Singh,Rachel Shelley,Dhanabhai Ramji Ahir,Hemant Bhatkar,Rajkishor Choudhary,"This is the story about the resilience shown by the Indians when they were under the British Rule. They are already taxed to the bone by the British and their cronies, but when Jack Russell announces that he will double the Lagaan (tax) from all villagers, they decide to oppose it. Leading the villagers is a handsome young man named Bhuvan, who challenges them to a game of cricket, a game that is to be played by veteran British cricket players, versus villagers, including Bhuvan himself, who have never played this game before, and do not even know a bat from a piece of wood. As the challenge is accepted, the interest grows and attracts Indians from all over the region, as well as the British from all over the country - as everyone gathers to see the 'fair play' that the British will display against their counter-parts, who are aided by none other than the sister, Elizabeth, of Captain Rusell.",8.1,108916.0,https://www.imdb.com/title/tt0169102/
My Name Is Khan,1188996,2010.0,Drama,,,Hindi,Shah Rukh Khan,Kajol,Katie A. Keane,Srinivas Achary,Geoffrey Brown,Jason Cronburg,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, suffers from Asperger's syndrome, a form of high-functioning autism that complicates socialization. The adult Rizwan marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who mistake his disability for suspicious behavior. Following his arrest, he meets Radha, a therapist who helps him deal with his situation and his affliction. Rizwan then begins a journey to meet US President Bush to clear his name.",8.0,102318.0,https://www.imdb.com/title/tt1188996/
Swades,367110,2004.0,Drama,,,Hindi,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Hemant Bhatkar,Eknath Kadam,Mitali Mahajan,"Set in modern day India, Swades is a film that tackles the issues that development throws up on a grass root level. It is to this India, which is colorful, heterogeneous and complex that Mohan Bhargava (Shah Rukh Khan), a bright young scientist working as a project manager in NASA, returns to on a quest to find his childhood nanny. The film uses the contrast between the highly developed world of NASA, which has been at the forefront of advances in space research, and this world back home in India, which is at the crossroads of development. Mohan's simple quest becomes the journey that every one of us goes through in search of that metaphysical and elusive place called ""home"".",8.2,86650.0,https://www.imdb.com/title/tt0367110/
Gangs of Wasseypur,1954470,2012.0,Action,Crime,Drama,Hindi,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Saikat Bose,Laxmi Keluskar,Liyakat Ali Khan,"Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",8.2,88919.0,https://www.imdb.com/title/tt1954470/
Gangs of Wasseypur,1954470,2012.0,Action,Crime,Drama,Hindi,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Saikat Bose,Laxmi Keluskar,Liyakat Ali Khan,"Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",8.2,88919.0,https://www.imdb.com/title/tt1954470/
Barfi!,2082197,2012.0,Comedy,Drama,Romance,Hindi,Ranbir Kapoor,Priyanka Chopra Jonas,Ileana D'Cruz,Chanchal Bisht,Satish Panchal,Aashish Porwal,"Set in the 1970s in a pretty corner of India, Barfi. is the story of three young people who learn that love can neither be defined nor contained by society's norms of normal and abnormal. Barfi, a hearing and speech impaired boy falls in love with Shruti. In spite of her deep affection for Barfii, Shruti gives into societal and parental pressure to marry a 'normal' man and lead a 'normal' life. Many years later their paths cross once again when Barfi, now in love with Jhilmil, is on the run from the police. Barfi is desperately seeking Jhilmil, who has gone missing. Shruti's realization that Jhilmil is autistic makes her recognize that true love is really blind. Caught in a cat and mouse game, in the search for the girl Barfi loves, Shruti realizes that she is still in love with him.",8.1,78446.0,https://www.imdb.com/title/tt2082197/
